Gene name	Mouse Ensembl ID (ENSMUSG)	Category	"Haplo-
sufficient"	Type of molecule	Mutant tooth phenotype	Ref.
Dspp	53268	tissue		other	Dentinogenesis imperfecta	67 68
Enam	29286	tissue		other	No enamel	69
Evc2	50248	tissue		intracellular	Amelogenesis imperfecta	70
Fam20a	20614	tissue		other	Severe amelogenesis imperfecta	71
Fam20c	25854	tissue		other	Severe amelogenesis imperfecta	71
Fgfr1	31565	tissue		receptor	K14 cKO: Amelogenesis imperfecta	72
Gdnf	22144	tissue		signal	Amelogenesis imperfecta, dentinogenesis imperfecta	73
Grem2	50069	tissue		signal	Enamel hypoplasia, dentine hypoplasia	74
Klk4	6948	tissue		other	Amelogenesis imperfecta	75
Lama3	24421	tissue		other	Enamel hypoplasia	76
Mmp14	957	tissue		other	Amelogenesis imperfecta	77 78
Mmp20	18620	tissue		other	Amelogenesis imperfecta, enamel hypoplasia	79
Mtor	28991	tissue		intracellular	Osx1 cKO: Dentine hypoplasia	80
Nectin1	32012	tissue		other	Amelogenesis imperfecta	81 81
Perp	19851	tissue		other	Amelogenesis imperfecta	82
Pkd2	34462	tissue		other	Wnt1 cKO: Abnormal pulp cavities, fractured roots	83
Postn	27750	tissue		other	Amelogenesis imperfect and abnormal periodontal ligament	84 85
Slc13a5	20805	tissue		other	Enamel hypoplasia	86
Slc39a13	2105	tissue		other	Dentine hypoplasia	87
Sp3	27109	tissue		transcription factor	Enamel hypoplasia, dentinogenesis imperfecta	88
Sppl2a	27366	tissue		other	Enamel hypoplasia	89
Acvr2b	61393	double		receptor	Double KO (ACVR2A+/-, ACVR2B-/-): Bud stage arrest	11
Dlx1	41911	double		transcription factor	Double KO: Placode stage arrest	90
Dlx2	23391	double		transcription factor	Double KO: Placode stage arrest	90
Dlx3	1510	double		transcription factor	Double KO: Misshaped teeth	91
Dlx4	20871	double		transcription factor	Double KO: Misshaped teeth	91
Dlx5	29755	double		transcription factor	Double KO: Misshaped teeth	92
Dlx6	29754	double		transcription factor	Double KO: Misshaped teeth	92
Gli2	48402	double		transcription factor	Double KO: Initiation stage arrest	93
Gli3	21318	double		transcription factor	Double KO: Initiation stage arrest	93
Lhx6	26890	double		transcription factor	Double KO: Initiation stage arrest	94
Lhx8	96225	double		transcription factor	Double KO: Initiation stage arrest	94
Csf1	14599	no eruption		signal	No eruption of molars	95
Fos	21250	no eruption		transcription factor	No eruption of molars	96
Ostm1	38280	no eruption		other	No eruption of molars	97
Pthlh	48776	no eruption		signal	No eruption of molars	98
Tcirg1	1750	no eruption		other	No eruption of molars	99
Traf6	27164	no eruption		intracellular	No eruption of molars	100101102
